"TIME_PERIOD";"GEO";"AGE";"SEX";"OBS_STATUS";"OBS_VALUE"
"2022-W08";"CH065";"Y_GE90";"T";"P";1
"2022-W08";"CH065";"Y_GE90";"M";"P";1
"2022-W08";"CH066";"_T";"T";"P";25
"2022-W08";"CH066";"_T";"F";"P";7
"2022-W08";"CH066";"_T";"M";"P";18
"2022-W08";"CH066";"Y45T49";"T";"P";1
"2022-W08";"CH066";"Y45T49";"M";"P";1
"2022-W08";"CH066";"Y65T69";"T";"P";1
"2022-W08";"CH066";"Y65T69";"M";"P";1
"2022-W08";"CH066";"Y75T79";"T";"P";6
"2022-W08";"CH066";"Y75T79";"F";"P";1
"2022-W08";"CH066";"Y75T79";"M";"P";5
"2022-W08";"CH066";"Y80T84";"T";"P";2
"2022-W08";"CH066";"Y80T84";"F";"P";1
"2022-W08";"CH066";"Y80T84";"M";"P";1
"2022-W08";"CH066";"Y85T89";"T";"P";6
"2022-W08";"CH066";"Y85T89";"F";"P";1
"2022-W08";"CH066";"Y85T89";"M";"P";5
"2022-W08";"CH066";"Y_GE90";"T";"P";9
"2022-W08";"CH066";"Y_GE90";"F";"P";4
"2022-W08";"CH066";"Y_GE90";"M";"P";5
"2022-W08";"CH070";"_T";"T";"P";62
"2022-W08";"CH070";"_T";"F";"P";28
"2022-W08";"CH070";"_T";"M";"P";34
"2022-W08";"CH070";"Y25T29";"T";"P";1
"2022-W08";"CH070";"Y25T29";"F";"P";1
"2022-W08";"CH070";"Y30T34";"T";"P";1
"2022-W08";"CH070";"Y30T34";"F";"P";1
"2022-W08";"CH070";"Y45T49";"T";"P";2
"2022-W08";"CH070";"Y45T49";"F";"P";1
"2022-W08";"CH070";"Y45T49";"M";"P";1
"2022-W08";"CH070";"Y50T54";"T";"P";1
"2022-W08";"CH070";"Y50T54";"M";"P";1
"2022-W08";"CH070";"Y65T69";"T";"P";4
"2022-W08";"CH070";"Y65T69";"M";"P";4
"2022-W08";"CH070";"Y70T74";"T";"P";3
"2022-W08";"CH070";"Y70T74";"F";"P";1
"2022-W08";"CH070";"Y70T74";"M";"P";2
"2022-W08";"CH070";"Y75T79";"T";"P";8
"2022-W08";"CH070";"Y75T79";"F";"P";1
"2022-W08";"CH070";"Y75T79";"M";"P";7
"2022-W08";"CH070";"Y80T84";"T";"P";11
"2022-W08";"CH070";"Y80T84";"F";"P";7
"2022-W08";"CH070";"Y80T84";"M";"P";4
"2022-W08";"CH070";"Y85T89";"T";"P";8
"2022-W08";"CH070";"Y85T89";"F";"P";3
"2022-W08";"CH070";"Y85T89";"M";"P";5
"2022-W08";"CH070";"Y_GE90";"T";"P";23
"2022-W08";"CH070";"Y_GE90";"F";"P";13
"2022-W08";"CH070";"Y_GE90";"M";"P";10
"2022-W09";"CH";"_T";"T";"P";1429
"2022-W09";"CH";"_T";"F";"P";737
"2022-W09";"CH";"_T";"M";"P";692
"2022-W09";"CH";"Y0T4";"T";"P";5
"2022-W09";"CH";"Y0T4";"M";"P";5
"2022-W09";"CH";"Y20T24";"T";"P";2
"2022-W09";"CH";"Y20T24";"F";"P";1
"2022-W09";"CH";"Y20T24";"M";"P";1
"2022-W09";"CH";"Y25T29";"T";"P";1
"2022-W09";"CH";"Y25T29";"M";"P";1
"2022-W09";"CH";"Y30T34";"T";"P";3
"2022-W09";"CH";"Y30T34";"F";"P";2
"2022-W09";"CH";"Y30T34";"M";"P";1
"2022-W09";"CH";"Y35T39";"T";"P";2
"2022-W09";"CH";"Y35T39";"F";"P";1
"2022-W09";"CH";"Y35T39";"M";"P";1
"2022-W09";"CH";"Y40T44";"T";"P";8
"2022-W09";"CH";"Y40T44";"F";"P";2
"2022-W09";"CH";"Y40T44";"M";"P";6
"2022-W09";"CH";"Y45T49";"T";"P";10
"2022-W09";"CH";"Y45T49";"F";"P";3
"2022-W09";"CH";"Y45T49";"M";"P";7
"2022-W09";"CH";"Y50T54";"T";"P";21
"2022-W09";"CH";"Y50T54";"F";"P";9
"2022-W09";"CH";"Y50T54";"M";"P";12
"2022-W09";"CH";"Y55T59";"T";"P";40
"2022-W09";"CH";"Y55T59";"F";"P";15
"2022-W09";"CH";"Y55T59";"M";"P";25
"2022-W09";"CH";"Y60T64";"T";"P";44
"2022-W09";"CH";"Y60T64";"F";"P";18
"2022-W09";"CH";"Y60T64";"M";"P";26
"2022-W09";"CH";"Y65T69";"T";"P";81
"2022-W09";"CH";"Y65T69";"F";"P";30
"2022-W09";"CH";"Y65T69";"M";"P";51
"2022-W09";"CH";"Y70T74";"T";"P";105
"2022-W09";"CH";"Y70T74";"F";"P";29
"2022-W09";"CH";"Y70T74";"M";"P";76
"2022-W09";"CH";"Y75T79";"T";"P";162
"2022-W09";"CH";"Y75T79";"F";"P";58
"2022-W09";"CH";"Y75T79";"M";"P";104
"2022-W09";"CH";"Y80T84";"T";"P";201
"2022-W09";"CH";"Y80T84";"F";"P";110
"2022-W09";"CH";"Y80T84";"M";"P";91
"2022-W09";"CH";"Y85T89";"T";"P";316
"2022-W09";"CH";"Y85T89";"F";"P";174
"2022-W09";"CH";"Y85T89";"M";"P";142
"2022-W09";"CH";"Y_GE90";"T";"P";428
"2022-W09";"CH";"Y_GE90";"F";"P";285
"2022-W09";"CH";"Y_GE90";"M";"P";143
"2022-W09";"CH011";"_T";"T";"P";118
"2022-W09";"CH011";"_T";"F";"P";58
"2022-W09";"CH011";"_T";"M";"P";60
"2022-W09";"CH011";"Y45T49";"T";"P";1
"2022-W09";"CH011";"Y45T49";"M";"P";1
"2022-W09";"CH011";"Y50T54";"T";"P";2
"2022-W09";"CH011";"Y50T54";"F";"P";2
"2022-W09";"CH011";"Y60T64";"T";"P";3
"2022-W09";"CH011";"Y60T64";"F";"P";2
"2022-W09";"CH011";"Y60T64";"M";"P";1
"2022-W09";"CH011";"Y65T69";"T";"P";4
"2022-W09";"CH011";"Y65T69";"F";"P";1
"2022-W09";"CH011";"Y65T69";"M";"P";3
"2022-W09";"CH011";"Y70T74";"T";"P";12
"2022-W09";"CH011";"Y70T74";"F";"P";2
"2022-W09";"CH011";"Y70T74";"M";"P";10
"2022-W09";"CH011";"Y75T79";"T";"P";12
"2022-W09";"CH011";"Y75T79";"F";"P";2
"2022-W09";"CH011";"Y75T79";"M";"P";10
"2022-W09";"CH011";"Y80T84";"T";"P";16
"2022-W09";"CH011";"Y80T84";"F";"P";8
"2022-W09";"CH011";"Y80T84";"M";"P";8
"2022-W09";"CH011";"Y85T89";"T";"P";24
"2022-W09";"CH011";"Y85T89";"F";"P";14
"2022-W09";"CH011";"Y85T89";"M";"P";10
"2022-W09";"CH011";"Y_GE90";"T";"P";44
"2022-W09";"CH011";"Y_GE90";"F";"P";27
"2022-W09";"CH011";"Y_GE90";"M";"P";17
"2022-W09";"CH012";"_T";"T";"P";63
"2022-W09";"CH012";"_T";"F";"P";34
"2022-W09";"CH012";"_T";"M";"P";29
"2022-W09";"CH012";"Y25T29";"T";"P";1
